Pop,MPG,ESU,detectionYear,detectionJulian,markYear,markJulian,freshwaterEmigrationYear,logdetectionJulian
Imnaha River,Grande Ronde/Imnaha,Snake,2001,95,1998,80,1998,4.553876892
Lemhi River,Upper Salmon,Snake,2001,102,1998,260,1999,4.624972813
Lemhi River,Upper Salmon,Snake,2001,102,1999,120,1999,4.624972813
Tucannon River,Lower Snake,Snake,2001,107,1999,112,1999,4.672828834
Lemhi River,Upper Salmon,Snake,2001,108,1998,192,1999,4.682131227
Imnaha River,Grande Ronde/Imnaha,Snake,2001,108,1998,77,1998,4.682131227
Tucannon River,Lower Snake,Snake,2001,109,1999,112,1999,4.691347882
Catherine Creek,Grande Ronde/Imnaha,Snake,2001,110,1999,77,1999,4.700480366
Minam River,Grande Ronde/Imnaha,Snake,2001,110,1998,229,1999,4.700480366
Imnaha River,Grande Ronde/Imnaha,Snake,2001,110,1999,107,1999,4.700480366
Bear Valley/Elk,Middle Fork Salmon,Snake,2001,112,1998,210,1999,4.718498871
Lemhi River,Upper Salmon,Snake,2001,112,1999,80,1999,4.718498871
Lemhi River,Upper Salmon,Snake,2001,114,1998,292,1999,4.736198448
Upper Salmon River,Upper Salmon,Snake,2001,114,1999,104,1999,4.736198448
Lemhi River,Upper Salmon,Snake,2001,116,1998,326,1999,4.753590191
Marsh Creek,Middle Fork Salmon,Snake,2001,117,1998,196,1999,4.762173935
Upper South Fork Salmon,South Fork Salmon,Snake,2001,117,1998,294,1999,4.762173935
Yankee Fork,Upper Salmon,Snake,2001,118,1999,103,1999,4.770684624
Lostine River,Grande Ronde/Imnaha,Snake,2001,118,1999,98,1999,4.770684624
Lemhi River,Upper Salmon,Snake,2001,118,1999,83,1999,4.770684624
Upper Grande Ronde,Grande Ronde/Imnaha,Snake,2001,121,1998,302,1999,4.795790546
Big Creek,Middle Fork Salmon,Snake,2001,121,1998,242,1999,4.795790546
East Fork South Fork Salmon,South Fork Salmon,Snake,2001,121,1998,316,1999,4.795790546
East Fork South Fork Salmon,South Fork Salmon,Snake,2001,123,1998,287,1999,4.812184355
East Fork South Fork Salmon,South Fork Salmon,Snake,2001,124,1999,111,1999,4.820281566
East Fork South Fork Salmon,South Fork Salmon,Snake,2001,124,1998,254,1999,4.820281566
