DOY, 2015:WRNO:outflow (kcfs), 2014:WRNO:outflow (kcfs), 2013:WRNO:outflow (kcfs), 2012:WRNO:outflow (kcfs), 2011:WRNO:outflow (kcfs), 2010:WRNO:outflow (kcfs), 2009:WRNO:outflow (kcfs), 2008:WRNO:outflow (kcfs), 2007:WRNO:outflow (kcfs), 2006:WRNO:outflow (kcfs), 2005:WRNO:outflow (kcfs), 2004:WRNO:outflow (kcfs), 2003:WRNO:outflow (kcfs), 2002:WRNO:outflow (kcfs), 2001:WRNO:outflow (kcfs), 2000:WRNO:outflow (kcfs), 1999:WRNO:outflow (kcfs), 1998:WRNO:outflow (kcfs)
1,198.412,121.554,187.088,175.967,169.813,115.483,126.26,116.46,137.996,135.975,191.862,138.879,123.208,119.779,138.683,165.592,199.5,139.025
2,190.829,120.671,221.346,116.583,151.596,105.879,142.4,160.646,129.883,206.738,132.1,122.45,112.525,114.95,135.983,194.587,189.1,148.029
3,193,118.883,190.45,153.037,200.617,116.912,178.5,130.287,157.283,207.271,164.3,135.388,121.246,108.829,136.067,205.921,214,150.033
4,203.579,122.663,185.913,166.217,188.833,121.371,175.2,145.875,177.8,175.033,164.8,160.425,110.204,114.754,137.571,202.946,211.5,150.233
5,178.442,126.442,183.05,149.446,141.2,131.304,173.4,149.333,190.542,177.5,166.7,171.85,110.575,127.104,132.925,188.237,198.5,183.079
6,178.679,145.867,167.938,139.608,138.492,147.542,183,149.883,189.254,151.954,163.9,166.788,117.054,126.008,130.217,213.083,204.3,211.283
7,191.3,151.725,160.854,124.154,140.817,169.9,207.5,145.525,170.554,164.246,153.4,182.554,117.279,139.908,137.933,189.042,203.8,178.95
8,188.717,146.929,175.342,128.342,132.225,130.329,203.9,167.117,174.679,153.512,161.4,151.033,133.317,131.421,130.1,198.054,215.5,160.25
9,184.717,152.65,209.258,139.771,164.5,140.833,199.1,175.558,172.171,163.375,120.1,154.475,140.379,160.592,129.442,217.029,239.8,189.104
10,196.913,146.163,190.133,138.646,150.838,118.625,188.1,149.804,178.888,186.012,141.1,112.542,122.421,171.608,126.854,227.421,216.9,191.137
11,214.733,112.821,188.696,164.35,177.583,120.587,155.8,156.429,164.967,193.85,154.2,118.875,125.938,142.925,130.096,218.608,195.6,195.508
12,199.317,150.238,195.621,147.838,187.492,121.046,174.8,157.425,196.642,221.996,125.8,126.021,121.171,122.004,130.146,213.646,203.3,191.112
13,197.333,136.796,191.933,138.4,172.95,122.971,173.9,128.133,190.858,229.8,162.5,139.104,117.571,137.95,128.492,207.979,232.3,188.642
14,194.837,125.758,187.421,129.108,167.842,135.2,191.5,134.558,195.075,216.242,198,128.229,113.575,128.888,128.825,201.721,237.7,194.208
15,199.963,123.129,199.833,128.679,188.588,114.712,231.5,156.671,213.104,196.242,159.7,129.288,116.337,134.646,129.242,214.704,221.1,179.913
