"","day","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998"
"1",1,0.458,0.479,1.1,0.5,0.521,0.558,0.39,0,0.517,0,0.15,0.7,0,0,0,0,0,0
"2",2,0.458,0.479,1.1,0.638,0.521,0.558,0.5,0.525,0.592,0.546,1.1,0.779,0,0,0,0,0,0
"3",3,0.458,0.479,1.088,0.496,0.696,0.579,0.5,0.475,0.508,0.567,1.1,0.792,0,0,0,0,0,0
"4",4,0.458,0.479,1.088,0.479,0.696,0.571,0.5,0.571,0.558,0.525,1.1,0.821,0,0,0,0,0,0
"5",5,0.458,0.479,1.079,0.5,0.704,0.567,0.5,0.512,9.583,0.521,1,0.713,0.042,0,0,0,0,0
"6",6,0.458,0.483,1.092,0.479,0.708,0.537,0.5,0.542,1.708,0.475,1,0.721,0,0,0,0,0,0
"7",7,0.458,0.479,1.1,0.508,0.55,0.542,0.5,0.521,0.562,0.525,1,0.679,0,0,0,0,0,0
"8",8,0.492,0.479,1.1,0.475,0.546,0.529,0.5,0.525,0.5,0.525,1.1,0.546,0,0,0,0,9,0
"9",9,0.483,0.479,1.1,0.479,0.525,0.55,0.8,0.525,0.529,0.608,1,0.667,0,0,0,0,19.5,0
"10",10,0.492,0.492,1.1,0.483,0.525,0.529,1,0.525,0.533,0.558,1,0.592,0,0,0,0,0.3,0
"11",11,0.487,0.483,1.1,1.508,0.513,0.537,1,0.571,0.492,0.525,1,0.6,0,0,0,0,0,0
"12",12,0.454,0.513,1.1,0.479,0.758,0.525,1,0.525,0.546,14.779,1,0.804,0,0,0,0,0,0
"13",13,0.504,0.483,1.1,0.479,0.708,0.537,1,0.525,0.588,36.804,1.1,0.758,0,0,0,0,0,0
"14",14,0.483,0.483,1.079,0.492,0.525,0.537,11.8,0.525,1.967,22.829,1,0.854,0,0,0,0,0,0
"15",15,0.475,0.479,1.1,0.442,0.575,0.55,28.7,0.608,23.567,0.537,1,1.525,0,0,0,0,0,0
"16",16,0.483,0.492,1.1,0.475,0.525,0.533,2.3,0.546,15.413,0.525,0.9,1.604,0,0,0,0,0,0
"17",17,0.483,0.479,1.067,0.479,0.708,0.525,0.8,0.525,0.492,12.467,1.1,0,0,0,0,0,0,0
"18",18,0.479,0.483,1.1,0.479,20.779,0.529,0.5,0.525,0.554,11.521,0.9,0,0,0,0,0,0,0
"19",19,0.483,0.483,1.1,0.479,24.183,0.542,0.5,0.517,0.512,6.383,1.1,0,0,0,0,0,0,0
"20",20,0.542,0.525,1.1,0.529,5.75,0.604,0.5,0.567,0.567,48.725,1.2,0.233,0,0,0,0,0,0
"21",21,0.529,0.529,1.1,0.525,0.575,0.579,0.5,0.575,0.575,7.725,1.2,0.262,0,0,0,0,0,0
"22",22,0.529,0.525,1.1,0.521,7.35,0.592,0.6,0.583,0.621,0.542,1.2,0.304,0,0,0,0,11.3,0
"23",23,0.525,0.525,1.1,0.525,16.617,0.583,0.7,0.579,0.562,0.546,1.1,0,0,0,0,0,12.5,0
"24",24,0.525,0.525,1.1,0.525,37.729,0.579,0.6,0.575,0.571,0.571,1,0,0,0,0,0,0,0
"25",25,1.217,0.521,1.1,0.529,21.871,0.579,0.6,0.542,0.508,0.571,1,0,0,0,0,0,0,0
"26",26,0.529,0.525,1.1,0.587,1.8,0.587,0.5,0.575,0.542,0.533,1,0,0,0,0,0,0,0
"27",27,0.529,0.525,1.1,0.642,26.321,0.621,0.5,0.625,0.571,0.533,1.1,0,0,0,0,0,0,0
"28",28,0.521,0.525,1.1,0.496,14.313,1.338,0.5,0.579,0.575,0,1.1,0,0,0,0,0,0,15.642
"29",29,0.529,0.525,1.1,0.529,1.354,0.617,0.6,0.571,0.575,0.575,1.1,0,0,0,0,0,0,0
