mm/dd, 2015:BON:spillpct (%), 2014:BON:spillpct (%), 2013:BON:spillpct (%), 2012:BON:spillpct (%), 2011:BON:spillpct (%), 2010:BON:spillpct (%)
1-Jan,0.232,0.394,0.589,0.284,0.307,0.483
2-Jan,0.238,0.396,0.5,0.547,0.344,0.527
3-Jan,0.24,0.403,0.57,0.324,0.347,0.495
4-Jan,0.225,0.392,0.586,0.288,0.368,0.47
5-Jan,0.256,0.38,0.588,0.335,0.499,0.432
6-Jan,0.256,0.332,0.645,0.343,0.511,0.364
7-Jan,0.241,0.319,0.68,0.409,0.391,0.319
8-Jan,0.259,0.323,0.63,0.37,0.413,0.406
9-Jan,0.261,0.315,0.53,0.343,0.319,0.391
10-Jan,0.25,0.338,0.582,0.349,0.348,0.446
11-Jan,0.228,0.42,0.577,0.918,0.289,0.446
12-Jan,0.227,0.349,0.564,0.324,0.404,0.434
13-Jan,0.256,0.346,0.574,0.346,0.41,0.437
14-Jan,0.248,0.388,0.574,0.381,0.313,0.398
15-Jan,0.237,0.385,0.553,0.343,0.305,0.479
16-Jan,0.265,0.323,0.542,0.33,0.29,0.455
17-Jan,0.234,0.346,0.512,0.357,0.309,0.415
18-Jan,0.26,0.38,0.6,0.288,7.556,0.46
19-Jan,0.22,0.38,0.653,0.278,8.724,0.472
20-Jan,0.259,0.374,0.639,0.292,2.262,0.499
21-Jan,0.222,0.354,0.587,0.316,0.24,0.503
22-Jan,0.238,0.381,0.573,0.343,3.043,0.518
23-Jan,0.251,0.388,0.568,0.345,6.308,0.5
24-Jan,0.275,0.378,0.656,0.303,13.58,0.469
25-Jan,0.669,0.392,0.605,0.354,8.225,0.433
26-Jan,0.268,0.397,0.7,0.369,0.775,0.466
27-Jan,0.26,0.39,0.751,0.372,9.72,0.526
28-Jan,0.263,0.402,0.763,0.288,5.48,1.081
29-Jan,0.253,0.439,0.785,0.358,0.582,0.513
30-Jan,0.256,0.46,0.751,0.388,0.29,0.951
31-Jan,0.254,0.438,0.636,0.346,0.658,0.545
1-Feb,0.236,0.449,0.752,0.355,2.55,0.522
2-Feb,0.24,0.432,0.747,0.354,0.248,0.497
3-Feb,0.27,0.442,0.65,0.375,0.253,0.622
4-Feb,0.228,0.431,9.794,0.379,0.242,0.519
