year,date,clip,Stock_Probability,TT_MS,surv_ms
2010,106,1,0.9778,NA,0
2010,106,1,1,NA,0
2010,106,1,0.9996,21,1
2010,106,1,0.9958,NA,0
2010,112,1,0.9704,13,1
2010,106,1,0.9999,13,1
2010,106,1,0.484,15,1
2010,112,1,0.9988,18,1
2010,106,1,0.9908,NA,0
2010,106,1,0.9885,9,1
2010,106,1,0.8808,11,1
2010,112,1,0.9888,12,1
2010,115,0,0.958,14,1
2010,104,1,0.8406,NA,1
2010,112,1,0.9932,9,1
2010,112,1,0.9705,NA,0
2010,106,1,0.8718,NA,0
2010,106,1,1,9,1
2010,112,1,0.6386,NA,0
2010,106,1,0.9977,22,1
2010,120,1,0.9931,33,1
2010,120,1,0.839,13,1
2010,120,0,0.9983,NA,0
2010,120,1,0.9962,15,1
2010,120,1,0.6367,NA,0
2010,110,0,0.8138,17,1
2010,120,1,0.8332,10,1
2010,120,1,0.9902,NA,1
2010,106,1,1,NA,0
2010,106,1,1,NA,0
2010,106,1,0.8776,16,1
2010,106,1,0.998,12,1
2010,106,1,0.9995,NA,0
2010,106,1,0.9876,11,1
2010,106,1,0.7773,17,1
2010,104,1,0.8774,18,1
2010,115,1,0.8883,15,1
2010,115,1,0.8849,12,1
2010,120,1,0.8993,NA,0
2010,106,1,0.7067,15,1
2010,112,1,0.8588,17,1
2010,112,1,0.9918,10,1
2010,104,1,0.7385,12,1
2010,104,1,1,NA,0
2010,104,1,0.9976,16,1
2010,104,1,0.9997,20,1
2010,104,1,0.6924,18,1
2010,104,1,0.9219,6,1
2010,104,1,1,NA,0
2010,104,1,1,14,1
2010,111,1,1,19,1
2010,104,1,0.9979,NA,0
2010,112,1,0.8164,18,1
2010,120,0,0.9862,NA,0
2010,120,0,0.6764,9,1
2010,120,0,0.7074,15,1
2010,120,0,0.9951,12,1
2010,120,0,0.9623,13,1
2010,104,1,1,18,1
2010,104,1,0.9815,15,1
2010,104,1,0.9996,22,1
2010,104,1,0.8524,7,1
2010,104,1,0.9963,11,1
2010,104,1,0.7936,31,1
2010,104,1,0.9892,20,1
2010,104,1,0.8134,18,1
2010,120,1,0.9993,19,1
2010,120,1,0.8189,10,1
2010,120,1,0.7074,14,1
2010,120,1,0.9986,14,1
2010,120,1,0.9959,15,1
2010,120,1,0.5815,NA,0
2010,120,1,0.9966,14,1
2010,120,1,0.9808,12,1
2010,120,1,0.8697,13,1
2010,120,1,0.9754,15,1
2010,106,1,0.8194,13,1
2010,106,1,0.9981,NA,0
2010,106,1,0.9914,26,1
2010,106,1,0.9999,23,1
2010,106,1,0.9999,15,1
2010,106,1,0.8819,13,1
2010,113,1,1,15,1
2010,113,1,0.9938,11,1
2010,113,1,0.9954,11,1
2010,113,1,1,NA,0
2010,113,1,0.9677,17,1
2010,106,1,0.6289,NA,0
2010,106,1,0.9978,NA,0
2010,106,1,0.9852,21,1
2010,106,1,0.9966,15,1
2010,106,1,0.9992,NA,0
2010,104,1,0.9669,8,1
2010,104,1,0.9944,17,1
2010,104,1,0.9268,19,1
2010,104,1,0.9832,14,1
2010,104,1,0.8805,19,1
2010,104,1,1,22,1
2010,114,1,0.9503,NA,1
2010,114,1,0.9979,11,1
2010,114,1,0.9774,NA,0
2010,114,1,0.9991,15,1
2010,114,1,0.9988,16,1
2010,114,1,1,NA,0
2010,114,1,0.9916,15,1
2010,114,1,0.9972,19,1
2010,104,1,0.6457,17,1
2010,104,1,0.9866,12,1
2010,104,1,0.9958,22,1
2010,104,1,0.9935,NA,0
2010,104,1,0.5144,31,1
2010,104,1,0.8447,16,1
2010,113,0,1,20,1
2010,113,0,0.5663,14,1
2010,113,0,1,NA,0
2010,113,1,0.9981,14,1
2010,113,1,0.9976,13,1
2010,113,1,0.8317,NA,0
2010,113,1,0.9898,17,1
2010,113,1,0.9969,NA,0
2010,113,1,0.9898,12,1
2010,113,1,0.9988,17,1
2010,110,1,0.9922,13,1
2010,110,1,0.9174,18,1
2010,110,1,0.9998,8,1
2010,110,1,0.9384,19,1
2010,110,1,0.811,13,1
2010,110,1,0.9999,22,1
2010,131,0,0.9929,26,1
2010,131,0,0.9999,11,1
2010,131,0,0.956,NA,0
2010,131,1,0.9219,19,1
2010,106,1,0.9949,NA,0
2010,106,1,0.9631,NA,0
2010,106,1,1,NA,0
2010,106,1,0.9999,24,1
2010,106,1,0.9988,21,1
2010,114,0,0.7699,NA,0
2010,118,0,0.6815,10,1
2010,118,0,0.9999,15,1
2010,118,1,0.9693,12,1
2010,118,1,0.9669,NA,0
2010,118,1,0.9127,NA,0
2010,118,1,0.9389,9,1
2010,118,1,0.9963,11,1
2010,118,1,0.9999,13,1
2010,114,1,1,NA,0
2010,114,1,1,8,1
2010,114,1,0.9973,9,1
2010,114,1,0.724,18,1
2010,110,1,0.9877,14,1
2010,110,1,0.8601,12,1
2010,110,1,0.9603,20,1
2010,110,1,0.9613,NA,0
2010,110,1,0.9728,8,1
2010,110,1,0.6338,11,1
2010,110,1,0.9988,17,1
2010,110,1,0.9999,20,1
2010,110,1,0.5519,11,1
2010,110,1,0.9987,17,1
2010,110,1,0.9995,26,1
2010,110,1,0.9922,NA,0
2010,130,1,0.5605,11,1
2010,130,1,0.9801,14,1
2010,130,1,0.8999,16,1
2010,111,1,0.9901,16,1
2010,111,1,0.9885,18,1
2010,111,1,0.8686,16,1
2010,111,1,0.91,NA,0
2010,111,1,0.7389,16,1
2010,111,1,1,18,1
2011,124,1,1,36,1
2011,112,1,0.9969,20,1
2011,112,0,0.9994,24,1
2011,112,0,0.9598,16,1
2011,112,1,0.9704,NA,0
2011,118,0,0.9541,11,1
2011,126,0,0.8158,23,1
2011,124,1,1,14,1
2011,125,0,0.9317,11,1
2011,112,0,0.5785,18,1
2011,124,1,0.9667,13,1
2011,112,1,0.9999,NA,0
2011,125,0,0.9992,27,1
2011,124,1,0.9296,14,1
2011,118,1,0.9994,37,1
2011,118,0,0.9883,17,1
2011,112,0,0.9867,22,1
2011,112,0,0.7891,NA,0
2011,112,0,0.9333,21,1
2011,119,1,1,11,1
2011,119,1,0.8309,32,1
2011,104,1,0.9973,23,1
2011,104,1,0.9961,NA,0
2011,112,0,0.9999,18,1
2011,104,1,0.9635,21,1
2011,104,1,0.7753,NA,0
2011,118,1,0.9997,14,1
2011,112,1,0.6759,16,1
2011,112,1,0.9901,14,1
2011,112,1,0.9918,14,1
2011,112,1,0.9999,NA,0
2011,104,1,0.9996,44,1
2011,104,1,1,24,1
2011,112,0,0.9914,NA,0
2011,112,1,1,NA,0
2011,118,0,0.8945,14,1
2011,118,0,0.8135,21,1
2011,118,1,0.8678,14,1
2011,118,1,0.9021,NA,0
