DOY, 2015:WRNO:tempc (C), 2014:WRNO:tempc (C), 2013:WRNO:tempc (C), 2012:WRNO:tempc (C), 2011:WRNO:tempc (C), 2010:WRNO:tempc (C), 2009:WRNO:tempc (C), 2008:WRNO:tempc (C), 2007:WRNO:tempc (C), 2006:WRNO:tempc (C), 2005:WRNO:tempc (C), 2004:WRNO:tempc (C), 2003:WRNO:tempc (C), 2002:WRNO:tempc (C), 2001:WRNO:tempc (C), 2000:WRNO:tempc (C), 1999:WRNO:tempc (C), 1998:WRNO:tempc (C)
1,5.358,4.546,5.171,5.217,4.513,3.95, NA,4.688,4.446,4.413,5.979,4.929,6.713,5.425,4.671,5.963, NA,6.525
2,5.371,4.554,4.875,5.004,4.096,4.129, NA,4.525,4.621,4.517,5.846,4.929,6.7,5.55,4.558,5.875, NA,6.25
3,5.663,4.629,4.764,5.004,4.029,4.263, NA,4.563,4.858,4.588,5.546,4.808,6.742,5.646,4.525,5.8, NA,5.979
4,5.538,4.571,4.862,5.096,4.1,4.238, NA,4.629,4.863,4.663,5.167,4.221,6.796,5.725,4.663,5.8, NA,5.763
5,5.583,4.333,4.642,5.258,4.321,4.263, NA,4.758,4.713,4.8,4.883,3.117,6.679,5.6,4.742,5.758, NA,5.796
6,5.513,4.029,4.692,5.125,4.538,4.313, NA,4.817,4.829,4.9,4.958,2.263,6.392,5.508,4.729,5.613, NA,5.888
7,5.138,4.067,4.842,5.088,4.688,4.013, NA,4.725,4.913,5.1,4.967,2.3,6.133,5.575,4.542,5.533, NA,5.929
8,4.804,4.2,5.133,5.025,4.804,3.783, NA,4.475,5.046,5.25,4.765,2.383,5.917,5.738,4.454,5.542, NA,5.896
9,4.617,4.4,5.213,5.033,4.725,3.808, NA,4.388,5.05,5.304,4.667,2.446,5.792,5.738,4.558,5.5, NA,5.467
10,4.467,4.696,5.079,5.013,4.408,3.863, NA,4.3,4.858,5.563,4.463,2.658,5.658,5.583,4.521,5.35, NA,5.196
11,4.396,4.888,4.829,4.629,3.813,3.883, NA,4.367,4.55,5.646,4.321,2.675,5.579,5.55,4.521,5.196, NA,4.404
12,4.35,4.95,4.65,4.178,3.565,3.954, NA,4.508,4.088,5.425,4.396,2.629,5.692,5.565,4.658,5.05, NA,3.583
13,4.404,5.092,4.421, NA,3.767,4.129, NA,4.554,3.683,5.3,4.458,2.604,5.854,5.471,4.758,4.93, NA,3.679
14,4.342,5.121,4.217, NA,4.104,4.283, NA,4.483,3.313,5.2,4.054,2.475,6.004,5.513,4.863,4.954, NA,3.892
15,4.342,4.921,4.25, NA,4.308,4.308, NA,4.304,2.996,5.063,3.173,2.404,6.025,5.483,4.896,4.988, NA,4.15
16,4.508,4.625,4.329, NA,4.642,4.45, NA,4.125,3.104,4.933,2.644,2.354,6.054,5.367,4.708,4.83, NA,4.196
17,4.633,4.429,4.108,4.078,4.846,4.588, NA,3.967,3.342,4.892,2.633,2.338,5.921,5.363,4.467, NA, NA,4.404
18,4.917,4.167,3.958,3.811,4.617,4.65, NA,3.933,3.267,4.925,2.883,2.308,5.813,5.529,4.413,4.822, NA,4.475
19,5.092,4.129,3.875,3.73,4.383,4.725, NA,3.979,3.192,5.088,3.211,2.292,5.808,5.604,4.421,4.708, NA,4.425
20,4.992,3.958,3.513,3.669,4.258,4.646, NA,4.004,3.333,5.196,3.38,2.208,5.779,5.654,4.358,4.592, NA,4.33
21,4.888,3.983,3.358,3.421,4.35,4.583, NA,3.613,3.4,5.25,3.538,2.246,5.642,5.692,4.383,4.552, NA,4.104
22,4.754,4.133,3.196,3.5,4.454,4.604, NA,3.342,3.292,5.229,3.742,2.325,5.513,5.667,4.388,4.517, NA,3.95
23,4.821,4.004,3,3.531,4.588,4.629, NA,2.958,3.058,5.188,3.717,2.371,5.588,5.629,4.396,4.387, NA,3.867
24,4.979,3.854,3.146,3.439,4.842,4.538, NA,2.625,2.85,5.108,3.613,2.529,5.625,5.658,4.383,4.313, NA,3.875
25,5.117,3.863,3.2,3.554,5.163,4.392, NA,2.629,2.621,5.075,3.454,2.704,5.658,5.613,4.408,4.304, NA,4.008
26,5.208,3.858,3.208,3.538,5.208,4.35, NA,2.608,2.475,5.083,3.304,2.875,5.917,5.446,4.317,4.383, NA,4.221
27,5.146,3.713,3.283,3.375,5.075,4.429, NA,2.554,2.404,5.021,3.233,2.975,6.083,5.35,4.192,4.321, NA,4.346
28,5.104,3.846,3.388,3.246,4.883,4.588, NA,2.638,2.25,5.013,3.308,3.238,6,5.3,4.096,4.063, NA,4.558
29,4.958,4.021,3.471,3.354,4.804,4.663, NA,2.763,2.208,5.013,3.267,3.7,5.842,5.067,4.017,3.7, NA,4.688
30,4.817,4.238,3.696,3.463,4.792,4.758, NA,2.713,2.154,5.121,3.292,3.905,5.917,4.833,4.15,3.408, NA,4.721
31,4.621,4.363,3.821,3.504,4.525,4.908, NA,2.713,2.154,5.017,3.4,3.8,6.2,4.713,4.213,3.421, NA,4.646
32,4.417,4.404,3.861,3.463,4.242,4.938,3.179,2.721,2.179,4.996,3.463,3.829,6.033,4.688,4.208,3.558, NA,4.667
33,4.458,4.221,3.904,3.488,4.004,5.038,3.146,2.642,2.258,5.021,3.533,3.883,5.954,4.721,4.238,3.792, NA,4.658
34,4.567,4.088,3.817,3.413,4.025,5.167,3.175,2.613,2.304,5.008,3.671,3.775,5.954,4.8,4.242,3.892, NA,4.758
35,4.571,3.692,3.863,3.15,4.254,5.271,3.129,2.575,2.546,5.033,3.892,3.875,5.817,4.75,4.313,3.904, NA,4.788
36,4.6,2.863,3.942,3.133,4.542,5.363,3.058,2.463,2.704,4.921,4.1,4.067,5.629,4.646,4.363,3.854, NA,4.879
37,4.642,2.038,4.058,2.979,4.625,5.408,3.025,2.338,2.721,4.821,4.142,4.117,5.508,4.546,4.363,3.871, NA,5.1
38,4.8,1.921,4.133,2.883,4.708,5.446,3.138,2.492,2.713,4.733,4.154,4.221,5.404,4.642,4.233,4.013, NA,5.121
39,4.954,1.638,4.133,2.967,4.575,5.438,3.154,2.558,2.8,4.696,4.15,4.342,5.396,4.658,4.138,4.088, NA,5.133
40,5.029,1.75,4.121,3.183,4.217,5.446,3.042,2.783,2.95,4.758,4.138,4.367,5.471,4.738,4.029,4.158, NA,5.088
